Fedu,Mjob,reason,studytime,failures,goout,absences,G1,G2,G3
3,services,reputation,1,0,5,6,14,13,13
1,other,home,2,0,3,0,12,13,12
2,teacher,home,2,0,3,2,13,14,14
2,services,reputation,4,0,4,2,11,12,12
1,at_home,home,4,0,2,4,13,13,13
3,services,reputation,1,0,3,6,9,11,11
1,other,course,2,0,5,0,13,12,12
4,other,reputation,1,0,4,4,12,13,13
3,other,course,3,0,5,2,12,13,13
4,services,other,1,0,5,12,9,9,8
4,services,other,3,0,3,0,16,16,16
4,services,course,1,0,3,2,12,13,12
2,services,home,2,0,5,16,11,10,10
4,services,course,2,0,4,0,16,16,16
3,other,reputation,4,0,3,10,10,10,10
2,other,course,4,0,2,4,10,10,10
3,services,home,3,0,3,4,13,14,14
4,other,home,4,0,5,8,12,10,11
4,health,other,3,0,5,2,15,15,14
4,teacher,course,1,0,3,4,13,14,14
3,services,reputation,3,0,2,4,11,11,11
2,at_home,home,2,1,2,12,8,10,10
2,teacher,course,1,0,2,10,18,17,18
1,health,reputation,2,0,2,4,10,9,10
4,teacher,course,2,0,4,6,16,14,14
4,other,reputation,2,0,3,4,16,15,16
3,other,home,1,0,2,6,14,14,15
3,other,course,2,1,4,14,12,11,11
4,other,reputation,1,0,3,2,14,13,14
2,at_home,course,2,0,3,0,14,14,14
2,services,home,4,0,4,6,14,13,13
4,other,course,2,0,2,2,14,12,13
4,health,course,1,0,4,4,12,13,13
2,other,home,2,0,4,0,12,11,11
4,services,home,1,0,5,2,9,9,9
4,other,home,2,0,2,0,10,11,11
1,at_home,course,2,2,2,0,9,10,11
4,teacher,course,1,0,5,8,14,14,15
3,other,course,3,0,3,4,13,12,13
4,services,course,3,0,2,0,10,11,12
1,services,reputation,2,3,5,10,10,9,8
1,other,course,1,0,2,8,11,10,11
1,at_home,course,1,0,3,6,11,12,13
2,other,course,1,0,4,2,13,12,12
4,services,course,1,0,1,12,15,13,14
1,at_home,course,1,0,1,4,9,9,11
2,other,home,1,1,4,12,13,11,11
4,at_home,course,2,0,3,2,12,11,11
4,services,course,3,0,3,4,13,14,15
4,at_home,course,2,0,5,2,10,9,10
1,at_home,course,2,0,3,0,14,13,13
1,services,course,1,0,4,2,11,11,12
2,other,course,3,0,3,10,12,11,11
1,other,reputation,1,0,3,8,12,11,11
3,other,course,1,0,2,4,9,9,10
1,services,course,2,2,4,0,10,10,10
4,teacher,course,1,0,2,6,13,14,14
1,other,course,1,1,5,2,8,9,9
3,teacher,course,4,0,2,6,9,11,11
3,services,home,2,0,2,24,9,8,9
4,services,course,3,0,3,0,15,13,13
2,services,reputation,1,0,3,4,12,11,11
4,teacher,course,3,0,2,2,13,13,13
1,at_home,course,1,0,4,4,10,11,11
1,other,home,1,0,5,22,9,7,6
1,other,course,2,0,2,0,12,12,12
1,at_home,home,1,0,2,0,11,10,10
2,health,home,2,1,2,2,11,11,11
2,at_home,course,2,0,2,6,13,12,13
2,at_home,course,2,0,4,6,11,11,11
4,teacher,course,1,0,2,16,9,9,8
1,services,course,1,0,5,0,12,11,11
1,other,course,1,2,5,0,11,9,0
1,at_home,course,1,1,4,6,9,10,10
3,services,reputation,3,0,1,2,13,13,13
2,services,home,1,0,4,6,11,9,11
4,other,course,1,0,1,0,13,13,13
3,at_home,course,2,0,4,0,7,8,8
2,other,reputation,1,3,2,14,9,8,10
1,at_home,course,1,3,5,6,11,10,11
2,at_home,course,1,0,2,4,12,10,11
3,other,course,2,1,5,0,10,10,1
2,health,course,1,2,5,0,9,8,10
1,at_home,course,1,1,2,8,8,8,9
2,other,course,2,2,4,4,7,6,8
2,other,course,1,0,4,2,8,9,10
3,at_home,course,1,1,3,2,9,8,8
1,other,course,2,0,5,0,8,8,8
2,services,course,1,3,2,10,8,7,8
2,other,course,2,0,5,0,9,10,11
2,health,home,2,0,3,0,17,17,18
2,other,home,2,0,5,0,12,12,13
4,health,reputation,2,0,2,0,16,16,17
4,other,course,1,1,5,4,9,9,10
0,other,reputation,2,0,2,0,16,17,18
4,teacher,reputation,2,0,4,0,11,9,10
3,at_home,home,2,0,5,0,14,13,13
3,other,reputation,2,0,5,0,14,14,15
3,teacher,course,2,0,4,0,10,11,11
2,services,reputation,2,0,4,0,13,12,14
3,other,reputation,2,0,4,4,11,9,10
2,teacher,other,1,0,3,8,10,9,11
3,other,course,2,0,3,4,11,11,13
3,teacher,home,2,0,3,4,11,10,11
3,services,home,2,0,3,0,11,12,13
4,services,reputation,2,0,2,0,17,18,17
3,other,reputation,2,0,3,32,14,13,14
2,other,reputation,2,0,2,8,14,15,16
3,services,other,2,0,4,6,11,13,14
2,services,other,1,0,3,0,10,9,11
1,other,course,2,0,3,0,13,14,16
3,health,reputation,2,0,3,10,12,13,14
2,at_home,home,2,0,3,6,9,9,10
3,services,course,2,0,3,6,12,12,13
1,at_home,course,2,0,3,0,12,11,12
2,at_home,other,2,0,4,16,10,11,12
3,services,reputation,1,0,2,0,11,10,10
3,other,home,1,0,3,0,13,12,12
4,services,course,2,0,2,8,14,15,16
4,services,home,1,0,3,4,13,13,14
3,teacher,home,1,0,4,16,10,11,12
4,services,home,1,1,4,30,14,15,16
4,teacher,reputation,2,0,2,0,11,10,11
3,health,home,2,0,5,2,14,14,15
3,other,reputation,2,0,3,4,11,12,12
1,other,course,2,0,4,0,14,15,15
2,other,reputation,1,0,2,21,13,13,13
2,services,reputation,4,0,5,6,13,13,13
4,at_home,home,3,1,3,14,8,9,8
1,services,course,2,0,3,2,11,11,12
3,teacher,other,2,0,2,4,14,15,15
1,at_home,home,1,0,2,2,12,13,13
3,teacher,reputation,3,0,2,0,11,12,12
3,other,reputation,4,0,3,4,12,12,12
4,services,home,2,0,5,15,13,12,12
2,other,reputation,2,0,4,0,13,13,13
2,services,home,2,0,4,10,12,11,11
4,services,other,1,0,1,6,12,11,11
2,other,reputation,2,0,4,2,14,16,15
3,other,reputation,2,0,5,16,11,9,10
3,services,home,2,0,4,10,10,10,10
3,at_home,home,1,0,3,4,12,13,13
2,at_home,course,3,0,3,0,12,12,13
1,at_home,reputation,2,0,5,0,11,10,11
1,at_home,reputation,3,0,4,12,12,12,12
3,services,other,2,0,1,0,13,13,14
2,other,home,2,3,3,9,10,9,10
4,teacher,home,3,0,2,4,15,16,16
1,other,reputation,2,0,3,4,8,8,8
2,other,course,2,0,4,2,17,18,17
3,services,reputation,2,0,3,0,10,11,11
1,at_home,course,2,0,2,2,9,10,11
1,other,course,3,0,3,0,15,15,16
3,health,reputation,2,0,3,0,14,12,12
2,other,course,2,0,2,0,12,13,13
4,teacher,reputation,2,0,5,0,13,13,13
4,health,reputation,2,0,4,0,13,13,14
1,other,home,2,0,2,2,9,9,9
2,at_home,reputation,3,0,3,0,12,12,12
2,other,home,2,0,2,0,16,16,16
1,other,home,1,0,2,4,9,10,10
1,other,home,2,0,3,0,14,13,13
4,services,course,2,1,3,18,10,10,10
2,at_home,course,2,1,1,16,9,8,10
3,other,course,1,1,1,14,8,7,7
2,other,course,1,1,3,26,7,8,8
4,teacher,course,1,0,1,6,10,8,9
2,other,course,2,0,2,4,14,14,15
1,at_home,course,3,0,2,10,11,10,10
2,other,course,1,0,5,4,12,11,11
1,at_home,course,2,0,1,2,13,13,13
4,other,course,1,1,4,14,9,9,8
2,other,reputation,2,0,4,16,8,7,8
2,other,home,1,1,2,8,11,9,10
1,at_home,course,3,0,3,4,15,14,15
2,teacher,course,2,0,2,4,15,14,14
3,health,course,2,0,5,8,15,15,15
4,teacher,course,2,0,3,0,12,12,12
3,teacher,course,1,0,5,7,14,14,15
4,services,course,1,0,2,4,14,15,15
4,teacher,course,2,0,1,2,11,11,12
1,other,home,3,0,3,2,13,14,15
3,services,home,3,0,2,10,11,11,11
1,at_home,course,2,0,2,10,10,9,10
1,other,course,3,0,4,10,12,10,11
1,other,course,1,0,3,7,15,16,16
1,other,course,2,0,4,4,11,10,11
3,other,course,1,0,2,2,9,12,13
1,services,other,1,3,5,12,7,8,5
3,other,course,2,0,3,8,10,9,10
2,other,other,1,0,2,0,11,12,11
2,services,course,1,0,5,8,7,8,7
3,at_home,reputation,2,1,3,4,9,11,10
1,services,other,1,2,5,4,7,8,6
1,other,course,1,0,2,2,14,13,12
1,other,course,1,0,2,0,12,12,13
1,health,course,1,1,4,0,9,10,10
1,other,course,2,0,4,2,12,12,13
2,teacher,reputation,4,0,3,2,14,15,17
2,services,home,2,0,3,0,10,10,11
1,services,course,2,1,5,4,11,10,11
2,other,course,3,0,4,2,11,12,14
1,other,home,3,0,3,4,11,12,14
2,other,home,2,0,3,4,11,11,13
3,services,reputation,2,0,1,4,11,13,14
1,other,home,2,0,4,2,16,16,16
2,other,other,1,0,2,0,9,10,10
2,services,course,4,0,1,2,10,11,12
1,other,course,2,0,3,8,10,12,12
3,services,home,2,0,2,2,15,15,15
3,teacher,course,2,0,2,2,10,10,11
2,other,course,3,0,2,2,10,11,12
3,other,home,3,0,3,2,15,12,13
2,at_home,home,3,0,3,0,11,12,13
2,other,home,1,0,4,8,8,8,9
4,other,reputation,2,0,5,6,15,16,16
1,services,other,2,0,4,0,11,11,14
4,teacher,reputation,2,0,4,8,10,11,12
2,health,reputation,2,0,5,4,10,12,14
1,other,reputation,2,0,5,12,8,9,10
3,other,home,2,0,5,16,11,12,12
3,other,reputation,4,0,5,10,16,16,16
1,other,home,2,0,3,2,13,13,13
2,at_home,home,2,0,2,2,16,17,18
1,other,home,2,0,5,8,14,14,15
4,at_home,reputation,2,0,3,6,15,16,16
2,services,course,2,0,4,6,12,12,12
2,other,home,2,0,1,15,12,9,10
4,teacher,home,1,0,4,6,11,12,12
4,health,reputation,2,1,4,2,14,12,13
2,other,reputation,3,0,3,8,13,15,15
2,services,reputation,2,1,3,0,9,8,10
3,teacher,course,1,0,3,0,10,10,10
2,at_home,home,1,0,4,10,10,10,11
1,services,home,1,0,4,22,11,11,10
2,teacher,home,1,0,4,18,13,13,13
1,at_home,reputation,4,0,2,2,17,17,18
1,other,home,2,0,4,0,12,13,13
2,other,course,2,0,5,12,12,12,14
1,other,reputation,2,0,1,10,12,13,14
1,other,reputation,2,0,3,0,12,12,12
2,at_home,other,3,0,3,0,18,18,18
1,services,reputation,3,0,3,0,13,13,14
1,services,reputation,3,0,4,0,14,15,15
4,teacher,reputation,2,0,3,0,17,17,17
2,teacher,home,2,0,2,2,15,16,16
3,health,reputation,3,0,2,0,17,18,18
1,services,reputation,4,0,2,0,18,19,19
2,services,reputation,3,0,2,0,14,15,15
3,health,home,1,0,3,0,14,15,15
4,health,reputation,2,0,4,2,14,13,13
3,other,home,2,0,5,0,13,14,14
3,other,reputation,4,0,3,0,16,17,17
4,teacher,home,1,0,2,0,18,18,17
4,health,home,2,0,4,0,14,15,15
4,other,home,1,0,1,0,12,13,13
4,services,reputation,3,0,4,0,7,7,8
2,other,reputation,3,0,3,0,16,16,16
2,health,reputation,4,0,2,0,18,18,18
1,at_home,course,3,1,1,0,9,10,11
2,services,course,1,2,3,0,14,15,15
3,other,reputation,2,0,3,0,10,10,11
4,other,home,2,0,4,2,10,10,11
1,services,course,2,0,3,2,12,12,15
3,other,course,2,0,1,2,11,12,14
4,teacher,course,1,0,4,2,15,16,17
3,other,course,3,0,4,2,14,15,17
3,health,course,1,0,4,8,12,12,15
4,at_home,course,3,0,4,2,15,15,17
3,at_home,course,2,0,4,8,11,12,14
2,health,course,2,0,4,9,11,10,10
4,teacher,course,2,0,4,0,12,11,13
4,other,course,1,0,4,4,11,12,14
4,health,course,1,0,4,2,14,15,17
3,services,course,2,0,2,14,15,14,17
3,services,home,2,0,3,0,12,12,13
1,other,home,2,0,3,2,11,12,14
4,other,reputation,1,0,5,2,8,9,11
1,other,course,3,0,5,12,10,10,11
1,other,course,2,2,4,2,8,8,9
2,other,course,1,0,5,2,10,10,10
2,other,course,2,0,2,4,14,13,13
2,services,course,3,0,2,0,11,11,10
1,services,course,3,0,3,0,17,18,17
2,at_home,home,3,0,3,0,14,14,15
1,other,home,3,0,5,0,14,14,14
4,other,course,3,0,3,0,13,14,13
3,other,reputation,1,0,5,0,17,18,17
2,services,course,1,0,5,2,11,10,10
4,teacher,course,3,0,4,0,13,12,13
4,teacher,course,3,0,3,4,15,14,15
3,at_home,course,1,0,5,2,11,12,11
2,other,course,4,0,5,0,11,11,12
2,at_home,home,1,0,4,0,11,10,10
2,at_home,course,2,0,5,2,10,9,10
4,at_home,course,3,0,3,0,15,15,15
2,other,reputation,1,0,2,6,15,14,15
3,services,home,2,0,4,8,10,11,12
2,other,home,2,0,3,0,10,9,12
2,at_home,course,4,0,4,6,14,13,14
4,services,course,3,0,5,8,11,13,14
2,other,home,2,0,2,0,12,13,15
3,services,home,4,0,3,4,14,14,15
2,other,home,2,0,3,0,14,14,16
4,teacher,home,2,0,3,0,12,12,13
4,services,home,2,0,3,6,16,16,17
2,at_home,home,2,0,1,18,10,12,14
3,at_home,course,3,0,3,0,11,12,14
2,other,other,3,0,3,4,14,16,17
3,teacher,course,3,0,2,4,15,14,17
3,teacher,course,3,0,5,0,14,13,14
3,health,reputation,3,0,3,0,11,12,13
1,services,course,2,0,4,10,12,15,15
1,services,reputation,2,0,5,4,12,16,16
3,at_home,home,1,1,3,16,10,11,11
1,other,home,1,1,2,6,10,13,13
4,other,reputation,3,2,2,0,9,12,12
2,services,reputation,2,0,4,11,9,11,12
4,other,reputation,2,0,5,9,13,14,15
2,services,reputation,2,0,4,0,13,17,17
4,health,reputation,3,0,2,2,12,15,15
2,teacher,course,2,0,2,0,14,17,17
1,at_home,course,2,2,3,21,9,10,10
1,other,reputation,3,0,2,8,11,15,15
4,teacher,home,1,1,5,5,9,10,11
2,other,reputation,2,0,4,10,16,18,18
2,at_home,reputation,3,0,4,5,14,17,17
3,other,reputation,1,0,3,13,13,14,14
1,other,reputation,1,0,4,10,7,11,11
2,services,reputation,2,0,4,10,14,17,17
0,other,reputation,1,1,1,5,8,10,10
2,services,home,2,0,2,4,10,13,13
3,at_home,other,1,0,3,11,10,11,11
2,other,course,2,0,4,0,12,12,12
1,at_home,other,1,1,3,6,10,10,10
3,at_home,course,1,0,4,4,10,10,11
3,at_home,course,2,0,2,0,16,17,17
1,at_home,home,1,0,4,0,6,8,9
4,at_home,home,2,0,2,5,10,11,11
2,other,other,3,0,3,0,10,11,11
2,at_home,course,2,1,4,0,10,10,10
1,other,other,1,1,4,0,6,6,7
4,teacher,course,1,0,1,0,13,14,14
2,at_home,reputation,4,0,1,4,10,9,11
1,at_home,reputation,2,0,3,0,10,10,10
1,other,course,1,1,3,4,6,7,8
2,other,other,1,0,3,0,12,11,12
3,other,course,1,0,5,2,10,11,12
3,other,course,1,0,3,0,14,16,16
1,at_home,home,2,0,5,0,7,0,0
1,other,home,2,0,3,4,8,9,9
1,health,reputation,2,0,4,0,12,13,14
1,health,reputation,2,0,4,7,7,9,8
4,other,other,2,0,5,4,9,10,11
1,other,course,2,0,5,8,7,9,9
3,at_home,reputation,2,0,3,0,11,11,11
1,other,other,1,0,5,8,8,10,9
4,teacher,course,3,0,2,6,16,16,17
2,other,course,1,0,2,3,11,13,13
3,other,course,2,0,4,2,15,15,15
2,other,course,2,0,3,0,10,11,11
2,other,course,2,0,5,4,9,10,11
2,other,course,3,1,2,0,10,8,8
2,other,course,3,1,2,3,9,8,8
1,at_home,home,2,0,2,0,9,10,9
1,at_home,course,2,0,3,0,13,14,15
2,at_home,reputation,1,0,5,4,10,11,11
1,other,home,4,0,2,0,13,10,13
1,at_home,other,3,0,3,2,10,9,10
1,at_home,home,2,0,3,1,11,10,11
1,at_home,other,1,0,2,0,13,12,14
1,at_home,course,2,0,1,0,13,14,14
2,other,other,3,0,3,2,14,11,12
1,at_home,other,1,0,4,6,11,11,11
2,other,course,2,1,4,9,9,8,8
1,other,home,1,0,3,0,10,9,11
2,other,course,2,0,4,1,14,13,14
2,health,reputation,1,0,3,1,13,12,13
4,other,course,2,0,1,0,13,12,13
3,services,reputation,2,0,4,4,13,12,12
2,at_home,course,2,1,4,2,12,11,12
2,other,home,1,0,2,0,14,14,16
1,at_home,course,1,0,3,4,10,8,10
3,at_home,reputation,1,0,4,2,10,11,11
2,other,course,3,0,2,0,12,13,14
1,other,home,1,0,3,2,10,8,8
3,services,course,1,0,3,11,12,10,11
1,at_home,course,2,3,3,0,7,7,8
2,other,course,1,0,3,4,9,9,10
3,at_home,course,1,1,4,0,9,9,10
1,at_home,course,1,0,3,2,9,10,11
1,at_home,course,1,0,1,0,9,10,9
2,other,course,2,0,5,1,9,10,11
2,other,home,1,0,4,6,7,7,8
2,at_home,course,2,0,5,0,11,10,11
2,other,course,1,1,3,1,9,10,10
2,other,course,3,2,2,6,7,9,10
1,at_home,course,3,1,1,6,7,9,9
1,other,home,1,1,3,0,8,9,10
1,at_home,course,1,1,3,4,9,11,10
1,other,course,2,1,4,12,7,8,9
2,health,course,2,0,2,2,8,10,10
1,other,course,1,0,4,5,9,9,10
2,at_home,course,2,0,5,0,8,9,9
3,other,reputation,1,0,4,0,14,13,13
1,services,home,1,0,4,2,14,14,14
3,services,course,4,1,5,0,10,11,10
1,other,course,2,0,3,0,14,13,14
2,services,course,1,0,5,0,17,16,16
2,other,course,1,1,5,12,6,7,7
3,other,course,1,0,5,8,14,12,13
2,services,other,4,1,5,2,10,8,9
1,other,course,4,0,1,0,14,14,14
2,other,home,3,0,5,0,12,13,13
1,at_home,reputation,1,0,5,0,11,11,11
3,at_home,other,2,1,4,8,11,9,10
1,other,course,3,0,3,0,11,11,10
2,other,course,1,1,5,0,10,9,9
1,at_home,course,2,0,2,0,16,17,18
2,other,reputation,2,0,2,0,15,17,17
0,other,other,2,0,5,1,11,9,10
1,at_home,other,2,1,2,9,7,7,7
1,other,course,1,0,3,0,8,6,8
2,services,course,1,0,3,2,7,6,7
1,other,reputation,2,0,5,8,9,8,10
4,health,reputation,2,0,3,0,14,16,16
2,other,reputation,1,0,5,0,14,14,15
4,other,reputation,2,1,2,8,8,5,8
1,other,reputation,2,0,1,0,8,7,0
1,at_home,other,2,0,2,6,6,8,8
3,at_home,other,2,0,3,0,8,10,10
4,health,course,2,0,4,4,8,8,8
4,at_home,home,4,0,5,2,5,6,6
4,at_home,other,2,0,1,2,7,9,8
4,other,home,3,0,3,0,15,14,16
1,other,other,1,0,3,1,13,14,14
2,services,other,3,0,3,0,10,9,10
2,at_home,other,1,0,3,5,9,9,9
4,services,other,1,0,3,1,11,11,11
3,services,home,1,0,4,8,7,10,9
1,at_home,other,2,0,3,0,10,10,10
1,health,other,2,0,2,2,9,7,8
1,other,other,2,0,2,0,14,15,16
4,teacher,other,1,0,2,0,11,12,12
2,other,course,2,0,5,11,9,11,10
2,other,reputation,4,0,5,8,13,14,14
1,services,course,1,0,3,11,12,13,12
2,other,course,3,0,3,2,11,11,11
1,other,home,2,0,4,8,9,10,10
2,at_home,home,1,0,3,5,9,11,11
2,other,other,2,0,3,0,11,9,11
4,teacher,course,3,0,5,1,10,11,12
4,health,course,1,3,3,2,9,9,8
3,other,course,1,0,2,2,12,11,12
4,services,other,2,1,4,8,8,9,8
4,health,course,2,0,5,0,13,15,16
1,other,other,1,0,2,0,10,11,11
1,at_home,other,2,0,5,2,11,10,11
2,other,course,2,0,3,0,17,18,18
2,other,course,2,0,2,0,12,13,13
2,other,other,2,0,2,0,13,14,13
1,other,other,2,2,3,2,9,9,10
0,other,home,1,0,2,4,11,11,12
1,at_home,course,1,0,5,3,10,11,10
2,other,home,3,0,4,5,13,14,13
2,other,course,1,0,4,4,9,10,11
1,other,course,2,3,4,2,7,9,10
2,other,course,1,0,5,0,8,13,10
0,at_home,course,1,1,2,0,12,12,13
1,other,course,1,0,5,0,10,9,10
1,at_home,course,2,0,3,6,10,9,10
2,other,course,2,0,3,0,11,13,12
2,other,course,1,1,1,0,7,0,0
2,services,course,1,0,5,2,11,9,10
1,at_home,course,1,0,5,0,10,10,9
1,services,course,1,1,3,2,9,7,9
2,services,course,1,1,1,0,4,0,0
2,at_home,course,1,3,1,4,6,11,9
3,at_home,course,2,2,5,9,4,8,8
2,services,course,1,0,3,6,7,8,8
1,at_home,course,1,3,3,4,8,9,9
2,services,course,2,2,5,8,5,5,7
1,other,course,1,0,2,9,7,9,10
1,other,course,1,1,3,12,8,11,10
3,services,course,1,0,4,8,10,11,10
2,other,course,1,0,5,8,9,10,11
1,other,home,2,1,4,8,10,9,11
3,health,course,2,1,4,4,8,9,10
3,at_home,course,1,0,3,0,9,10,9
1,other,home,1,1,4,4,8,9,10
2,at_home,course,2,2,3,2,6,8,8
1,at_home,course,1,0,4,0,6,8,7
2,other,other,1,1,5,0,8,6,0
0,at_home,course,1,0,3,0,10,11,11
1,other,course,3,0,3,5,8,7,8
2,teacher,home,2,0,5,0,8,8,0
2,services,course,2,1,3,3,7,6,8
1,health,course,1,0,2,0,8,10,9
2,at_home,course,1,0,1,0,7,10,10
1,other,course,2,2,4,3,7,8,7
2,services,reputation,2,0,5,2,12,13,14
3,services,course,1,0,3,0,11,12,13
2,at_home,reputation,2,0,3,0,12,13,14
4,teacher,reputation,2,0,5,0,18,18,18
4,services,reputation,1,0,5,3,17,17,17
2,other,course,2,0,3,0,17,18,18
2,at_home,course,2,1,3,0,9,0,0
2,at_home,home,1,0,4,8,10,11,11
4,at_home,other,1,0,5,5,12,13,14
1,other,other,1,0,3,4,12,13,14
2,other,course,2,0,1,4,8,8,10
2,services,course,3,0,5,0,11,12,13
2,teacher,reputation,2,0,1,0,5,0,0
1,at_home,course,2,1,2,2,9,10,10
1,at_home,other,1,1,5,0,5,0,0
2,teacher,course,4,0,3,0,18,18,18
1,services,reputation,2,0,3,5,11,11,12
1,at_home,course,2,0,3,2,8,10,11
2,at_home,course,2,0,1,0,11,11,12
1,at_home,course,2,3,4,0,8,0,0
2,services,home,3,0,1,5,14,14,15
3,services,home,2,1,5,4,10,11,11
3,services,course,2,0,4,0,10,10,10
4,teacher,other,2,0,3,2,12,12,12
2,services,reputation,2,0,3,0,15,14,15
1,other,home,1,0,2,2,14,13,14
1,at_home,course,3,0,2,0,19,17,18
2,at_home,course,2,0,4,0,16,15,15
3,services,other,2,0,2,6,13,12,13
4,at_home,course,2,0,4,4,15,14,15
2,other,course,2,0,2,0,13,13,13
3,at_home,course,2,0,4,0,8,10,9
4,teacher,other,3,0,2,0,15,16,16
1,other,reputation,1,1,1,0,8,8,9
3,at_home,course,1,0,3,0,10,10,10
4,other,other,2,0,2,0,7,5,0
2,at_home,other,1,0,3,3,9,10,10
2,other,home,3,0,3,8,10,11,12
2,other,course,1,0,5,4,7,8,9
4,other,reputation,3,0,4,0,15,17,17
1,other,home,3,0,2,4,10,11,12
1,at_home,course,2,1,3,4,7,8,9
4,teacher,course,2,0,3,1,13,14,14
3,other,home,2,0,3,1,16,16,16
1,at_home,reputation,2,0,4,10,8,9,9
4,teacher,home,2,0,4,4,17,18,19
1,other,other,1,0,3,0,7,7,0
3,other,home,2,0,3,4,14,15,16
1,other,other,1,1,2,0,5,8,0
2,other,home,1,1,3,0,7,7,0
2,at_home,other,3,0,3,0,14,17,15
3,teacher,other,2,0,4,0,6,9,11
4,teacher,reputation,1,0,3,4,7,9,10
3,services,course,3,1,2,4,10,11,10
1,teacher,course,2,0,4,4,15,15,16
1,other,course,2,0,1,6,11,12,9
1,services,course,1,0,5,6,10,10,10
2,services,course,1,0,1,4,10,11,11
